Dataset,Run_ID,Variant,Variant_Raw,Taildrop_Pct,Model,N_Seeds,Seeds,Number_Users,Number_Items,Number_Interactions,Density,Sparsity,Avg_User_Degree,Avg_Item_Degree,Precision@10_mean,Precision@10_sd,Precision@10_text,Recall@10_mean,Recall@10_sd,Recall@10_text,NDCG@10_mean,NDCG@10_sd,NDCG@10_text,MRR@10_mean,MRR@10_sd,MRR@10_text,Coverage@10_mean,Coverage@10_sd,Coverage@10_text,CatalogItems_mean,CatalogItems_sd,CatalogItems_text,UniqueRecItems@10_mean,UniqueRecItems@10_sd,UniqueRecItems@10_text,ItemCV@10_mean,ItemCV@10_sd,ItemCV@10_text,UserCoverage@10_mean,UserCoverage@10_sd,UserCoverage@10_text,EEL@10_mean,EEL@10_sd,EEL@10_text,RecGini_mean,RecGini_sd,RecGini_text,RecEntropy_mean,RecEntropy_sd,RecEntropy_text,1-Gini@10_mean,1-Gini@10_sd,1-Gini@10_text,ARP@10_mean,ARP@10_sd,ARP@10_text,APLT@10_mean,APLT@10_sd,APLT@10_text,LTShare@10_mean,LTShare@10_sd,LTShare@10_text,EPC@10_mean,EPC@10_sd,EPC@10_text,EFD@10_mean,EFD@10_sd,EFD@10_text,EPC_rel@10_mean,EPC_rel@10_sd,EPC_rel@10_text,EFD_rel@10_mean,EFD_rel@10_sd,EFD_rel@10_text,ILS_mean,ILS_sd,ILS_text,Diversity_mean,Diversity_sd,Diversity_text
Online Retail,online_retail_aggtail_20260512_145038,TD60,aggtail_td60,0.60,BPR,3,"42,43,44",4174,1466,223327,0.0364968,0.9635032,53.5043124102,152.3376534789,0.0137269018,0.0002704446,0.0137 ± 0.0003,0.1372690185,0.0027044463,0.1373 ± 0.0027,0.070688674,0.0017959969,0.0707 ± 0.0018,0.0504365682,0.001601641,0.0504 ± 0.0016,0.6005002274,0.0121321706,0.6005 ± 0.0121,1466,0,1466.0000 ± 0.0000,880.3333333333,17.7857620959,880.3333 ± 17.7858,3.2456887249,0.1239022094,3.2457 ± 0.1239,0.1372690185,0.0027044463,0.1373 ± 0.0027,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD60,aggtail_td60,0.60,ItemKNN,3,"42,43,44",4174,1466,223327,0.0364968,0.9635032,53.5043124102,152.3376534789,0.0221182305,0.0001207877,0.0221 ± 0.0001,0.2211823054,0.0012078769,0.2212 ± 0.0012,0.1241816454,0.0001786357,0.1242 ± 0.0002,0.0946047491,0.0005592654,0.0946 ± 0.0006,0.9608913142,0.0017166518,0.9609 ± 0.0017,1466,0,1466.0000 ± 0.0000,1408.6666666667,2.5166114784,1408.6667 ± 2.5166,1.3045899016,0.0044402337,1.3046 ± 0.0044,0.2211823054,0.0012078769,0.2212 ± 0.0012,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD60,aggtail_td60,0.60,LightGCN,3,"42,43,44",4174,1466,223327,0.0364968,0.9635032,53.5043124102,152.3376534789,0.0135029198,0.0001633516,0.0135 ± 0.0002,0.1350291977,0.0016335155,0.1350 ± 0.0016,0.0692659809,0.000693499,0.0693 ± 0.0007,0.0492683125,0.0006179472,0.0493 ± 0.0006,0.4647567076,0.0027567885,0.4648 ± 0.0028,1466,0,1466.0000 ± 0.0000,681.3333333333,4.0414518843,681.3333 ± 4.0415,3.5101130189,0.0191294908,3.5101 ± 0.0191,0.1350291977,0.0016335155,0.1350 ± 0.0016,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD60,aggtail_td60,0.60,NeuMF,3,"42,43,44",4174,1466,223327,0.0364968,0.9635032,53.5043124102,152.3376534789,0.0149028078,0.0006470587,0.0149 ± 0.0006,0.1490280778,0.0064705874,0.1490 ± 0.0065,0.0743154294,0.0039844651,0.0743 ± 0.0040,0.0518991179,0.0033224866,0.0519 ± 0.0033,0.9217826285,0.0010419681,0.9218 ± 0.0010,1466,0,1466.0000 ± 0.0000,1351.3333333333,1.5275252317,1351.3333 ± 1.5275,1.7370151991,0.0489521502,1.7370 ± 0.0490,0.1490280778,0.0064705874,0.1490 ± 0.0065,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD60,aggtail_td60,0.60,MultiVAE,3,"42,43,44",4174,1466,223327,0.0364968,0.9635032,53.5043124102,152.3376534789,0.0141268699,0.0004466051,0.0141 ± 0.0004,0.1412686985,0.0044660507,0.1413 ± 0.0045,0.059744802,0.0101925876,0.0597 ± 0.0102,0.0356287687,0.0110939797,0.0356 ± 0.0111,0.0561618918,0.0045418336,0.0562 ± 0.0045,1466,0,1466.0000 ± 0.0000,82.3333333333,6.6583281185,82.3333 ± 6.6583,8.4323962821,0.3104229615,8.4324 ± 0.3104,0.1412686985,0.0044660507,0.1413 ± 0.0045,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD80,aggtail_td80,0.80,BPR,3,"42,43,44",4174,733,161083,0.05264938,0.94735062,38.5919980834,219.758526603,0.0130326419,0.0007196926,0.0130 ± 0.0007,0.130326419,0.0071969257,0.1303 ± 0.0072,0.0662297974,0.0051186028,0.0662 ± 0.0051,0.0469151117,0.0044663421,0.0469 ± 0.0045,0.8253751705,0.0130141774,0.8254 ± 0.0130,733,0,733.0000 ± 0.0000,605,9.5393920142,605.0000 ± 9.5394,2.0550681429,0.0210621932,2.0551 ± 0.0211,0.130326419,0.0071969257,0.1303 ± 0.0072,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD80,aggtail_td80,0.80,ItemKNN,3,"42,43,44",4174,733,161083,0.05264938,0.94735062,38.5919980834,219.758526603,0.0215388326,0,0.0215 ± 0.0000,0.2153883261,0,0.2154 ± 0.0000,0.1211696395,0,0.1212 ± 0.0000,0.0923296694,0,0.0923 ± 0.0000,0.9959072306,0,0.9959 ± 0.0000,733,0,733.0000 ± 0.0000,730,0,730.0000 ± 0.0000,0.9359446313,0.0000234111,0.9359 ± 0.0000,0.2153883261,0,0.2154 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD80,aggtail_td80,0.80,LightGCN,3,"42,43,44",4174,733,161083,0.05264938,0.94735062,38.5919980834,219.758526603,0.0123090529,0.0006694375,0.0123 ± 0.0007,0.123090529,0.0066943752,0.1231 ± 0.0067,0.0600731809,0.0028781947,0.0601 ± 0.0029,0.0411374385,0.0017649725,0.0411 ± 0.0018,0.7048658481,0.019115825,0.7049 ± 0.0191,733,0,733.0000 ± 0.0000,516.6666666667,14.0118997047,516.6667 ± 14.0119,2.2879786021,0.0670106476,2.2880 ± 0.0670,0.123090529,0.0066943752,0.1231 ± 0.0067,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD80,aggtail_td80,0.80,NeuMF,3,"42,43,44",4174,733,161083,0.05264938,0.94735062,38.5919980834,219.758526603,0.015195369,0.0004841983,0.0152 ± 0.0005,0.1519536903,0.0048419826,0.1520 ± 0.0048,0.0752731607,0.0033476757,0.0753 ± 0.0033,0.0522697341,0.0030048824,0.0523 ± 0.0030,0.9863574352,0.0047259231,0.9864 ± 0.0047,733,0,733.0000 ± 0.0000,723,3.4641016151,723.0000 ± 3.4641,1.4134170328,0.0724833076,1.4134 ± 0.0725,0.1519536903,0.0048419826,0.1520 ± 0.0048,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Online Retail,online_retail_aggtail_20260512_145038,TD80,aggtail_td80,0.80,MultiVAE,3,"42,43,44",4174,733,161083,0.05264938,0.94735062,38.5919980834,219.758526603,0.006713298,0.0028806894,0.0067 ± 0.0029,0.0671329796,0.0288068945,0.0671 ± 0.0288,0.0317794049,0.0185824473,0.0318 ± 0.0186,0.02114909,0.0149924416,0.0211 ± 0.0150,0.1150522965,0.0244553518,0.1151 ± 0.0245,733,0,733.0000 ± 0.0000,84.3333333333,17.9257728797,84.3333 ± 17.9258,6.7462190978,1.052215865,6.7462 ± 1.0522,0.0671329796,0.0288068945,0.0671 ± 0.0288,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD40,aggtail_td40,0.40,BPR,3,"42,43,44",20000,7856,156073,0.00099334,0.99900666,7.80365,19.8667260692,0.0210629588,0.0004329893,0.0211 ± 0.0004,0.2106295883,0.0043298929,0.2106 ± 0.0043,0.1173975182,0.0026613429,0.1174 ± 0.0027,0.0889739354,0.0021808861,0.0890 ± 0.0022,0.1573382269,0.0070640801,0.1573 ± 0.0071,7629,0,7629.0000 ± 0.0000,1200.3333333333,53.8918670426,1200.3333 ± 53.8919,8.2547204021,0.1902030735,8.2547 ± 0.1902,0.2106295883,0.0043298929,0.2106 ± 0.0043,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD40,aggtail_td40,0.40,ItemKNN,3,"42,43,44",20000,7856,156073,0.00099334,0.99900666,7.80365,19.8667260692,0.0116867959,0.0000747535,0.0117 ± 0.0001,0.116867959,0.0007475348,0.1169 ± 0.0007,0.0709515165,0.0003621036,0.0710 ± 0.0004,0.0566185292,0.0004617206,0.0566 ± 0.0005,0.728579543,0.001338887,0.7286 ± 0.0013,7629,0,7629.0000 ± 0.0000,5558.3333333333,10.214368964,5558.3333 ± 10.2144,3.5562274243,0.009230856,3.5562 ± 0.0092,0.116867959,0.0007475348,0.1169 ± 0.0007,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD40,aggtail_td40,0.40,LightGCN,3,"42,43,44",20000,7856,156073,0.00099334,0.99900666,7.80365,19.8667260692,0.0208515173,0.00065042,0.0209 ± 0.0007,0.208515173,0.0065041997,0.2085 ± 0.0065,0.1162016405,0.0026509659,0.1162 ± 0.0027,0.0880559234,0.0015523406,0.0881 ± 0.0016,0.1091012365,0.0021189943,0.1091 ± 0.0021,7629,0,7629.0000 ± 0.0000,832.3333333333,16.1658075373,832.3333 ± 16.1658,8.6836718581,0.3310073671,8.6837 ± 0.3310,0.208515173,0.0065041997,0.2085 ± 0.0065,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD40,aggtail_td40,0.40,NeuMF,3,"42,43,44",20000,7856,156073,0.00099334,0.99900666,7.80365,19.8667260692,0.0202696302,0.0003729512,0.0203 ± 0.0004,0.2026963023,0.003729512,0.2027 ± 0.0037,0.1078944246,0.001724097,0.1079 ± 0.0017,0.0792080891,0.0011063114,0.0792 ± 0.0011,0.3728317385,0.0258628539,0.3728 ± 0.0259,7629,0,7629.0000 ± 0.0000,2844.3333333333,197.3077123007,2844.3333 ± 197.3077,5.5897864085,0.1759520032,5.5898 ± 0.1760,0.2026963023,0.003729512,0.2027 ± 0.0037,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD40,aggtail_td40,0.40,MultiVAE,3,"42,43,44",20000,7856,156073,0.00099334,0.99900666,7.80365,19.8667260692,0.0206197774,0.0000634494,0.0206 ± 0.0001,0.2061977739,0.0006344937,0.2062 ± 0.0006,0.1158209613,0.0004451674,0.1158 ± 0.0004,0.0882044695,0.0007165826,0.0882 ± 0.0007,0.0427316817,0.0024062865,0.0427 ± 0.0024,7629,0,7629.0000 ± 0.0000,326,18.3575597507,326.0000 ± 18.3576,9.089791007,0.0067915952,9.0898 ± 0.0068,0.2061977739,0.0006344937,0.2062 ± 0.0006,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD60,aggtail_td60,0.60,BPR,3,"42,43,44",20000,5902,152929,0.00129557,0.99870443,7.64645,25.9113859709,0.0183216619,0.0001980489,0.0183 ± 0.0002,0.1832166188,0.0019804891,0.1832 ± 0.0020,0.1007643993,0.0006482693,0.1008 ± 0.0006,0.0756334999,0.0002818213,0.0756 ± 0.0003,0.2061666953,0.0147881198,0.2062 ± 0.0148,5827,0,5827.0000 ± 0.0000,1201.3333333333,86.1703738725,1201.3333 ± 86.1704,8.3479392419,0.2443061495,8.3479 ± 0.2443,0.1832166188,0.0019804891,0.1832 ± 0.0020,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD60,aggtail_td60,0.60,ItemKNN,3,"42,43,44",20000,5902,152929,0.00129557,0.99870443,7.64645,25.9113859709,0.0117083984,0.0001011379,0.0117 ± 0.0001,0.1170839841,0.0010113789,0.1171 ± 0.0010,0.0693426789,0.0004604531,0.0693 ± 0.0005,0.0545546255,0.0003196068,0.0546 ± 0.0003,0.9298667124,0.0018825562,0.9299 ± 0.0019,5827,0,5827.0000 ± 0.0000,5418.3333333333,10.9696551146,5418.3333 ± 10.9697,3.5748843244,0.0116908852,3.5749 ± 0.0117,0.1170839841,0.0010113789,0.1171 ± 0.0010,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD60,aggtail_td60,0.60,LightGCN,3,"42,43,44",20000,5902,152929,0.00129557,0.99870443,7.64645,25.9113859709,0.0179471678,0.0000509648,0.0179 ± 0.0001,0.1794716778,0.0005096475,0.1795 ± 0.0005,0.0986446798,0.0003119179,0.0986 ± 0.0003,0.0739654897,0.0002325769,0.0740 ± 0.0002,0.1290544019,0.0118563415,0.1291 ± 0.0119,5827,0,5827.0000 ± 0.0000,752,69.0869017977,752.0000 ± 69.0869,8.7232909777,0.0331407809,8.7233 ± 0.0331,0.1794716778,0.0005096475,0.1795 ± 0.0005,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD60,aggtail_td60,0.60,NeuMF,3,"42,43,44",20000,5902,152929,0.00129557,0.99870443,7.64645,25.9113859709,0.0176516029,0.0001941007,0.0177 ± 0.0002,0.1765160294,0.0019410069,0.1765 ± 0.0019,0.0940524737,0.0018606298,0.0941 ± 0.0019,0.0691390368,0.0019818257,0.0691 ± 0.0020,0.4516332018,0.0106031529,0.4516 ± 0.0106,5827,0,5827.0000 ± 0.0000,2631.6666666667,61.7845719685,2631.6667 ± 61.7846,5.4118073066,0.1830937379,5.4118 ± 0.1831,0.1765160294,0.0019410069,0.1765 ± 0.0019,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD60,aggtail_td60,0.60,MultiVAE,3,"42,43,44",20000,5902,152929,0.00129557,0.99870443,7.64645,25.9113859709,0.0180764774,0.0001098015,0.0181 ± 0.0001,0.180764774,0.0010980147,0.1808 ± 0.0011,0.0999073136,0.0006255125,0.0999 ± 0.0006,0.0751929715,0.0005806683,0.0752 ± 0.0006,0.0464504319,0.0037807246,0.0465 ± 0.0038,5827,0,5827.0000 ± 0.0000,270.6666666667,22.0302821891,270.6667 ± 22.0303,9.0612672365,0.0199800627,9.0613 ± 0.0200,0.180764774,0.0010980147,0.1808 ± 0.0011,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
Steam,steam_aggtail_20260512_145058,TD80,aggtail_td80,0.80,BPR,3,"42,43,44",20000,3042,142529,0.00234269,0.99765731,7.12645,46.8537146614,0.0131183991,0.0001226405,0.0131 ± 0.0001,0.1311839911,0.0012264047,0.1312 ± 0.0012,0.0686698138,0.0008047394,0.0687 ± 0.0008,0.0497536978,0.0007761285,0.0498 ± 0.0008,0.400877193,0.0174135097,0.4009 ± 0.0174,3040,0,3040.0000 ± 0.0000,1218.6666666667,52.9370695575,1218.6667 ± 52.9371,7.776758388,0.4666728053,7.7768 ± 0.4667,0.1311839911,0.0012264047,0.1312 ± 0.0012,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
